Date,Income,Expenses,Department,Region,Customer_Satisfaction_Score,Transaction_Count,Profit
2022-08-31,22452,26416,Finance,North,5,198,-3964
2022-11-28,25372,19236,Operations,South,8,464,6136
2023-01-11,23434,27886,Finance,East,9,121,-4452
2021-06-29,22416,25023,Sales,South,9,300,-2607
2020-04-22,29248,15929,IT,North,7,220,13319
2021-02-28,38194,25941,Finance,West,1,356,12253
2022-07-06,43785,13292,IT,East,8,289,30493
2020-08-17,47458,20319,HR,West,7,94,27139
2023-07-30,18373,24916,Sales,West,4,292,-6543
2022-07-05,40283,7816,Marketing,West,6,153,32467
2023-08-03,39415,11411,Operations,West,2,13,28004
2020-06-03,36414,20721,HR,West,4,423,15693
2020-06-13,24378,21791,Marketing,North,8,207,2587
2022-08-19,28336,12204,IT,South,4,255,16132
2023-04-20,14700,23899,Marketing,South,4,422,-9199
2023-06-16,23901,29517,Operations,West,4,158,-5616
2021-10-10,34838,6739,Operations,North,9,270,28099
2023-09-24,32597,9052,Finance,West,2,306,23545
2022-07-26,43428,21642,Finance,West,7,68,21786
2021-05-26,45687,10786,IT,East,3,257,34901
2022-07-20,39493,17013,Operations,North,4,189,22480
2020-09-22,41852,17596,Sales,West,1,3,24256
2020-07-05,20932,25067,HR,South,3,237,-4135
2022-11-29,33009,9720,IT,East,2,434,23289
2021-01-25,43583,19445,IT,West,7,445,24138
2023-07-07,37994,8726,Marketing,West,6,420,29268
2021-10-16,39865,5678,IT,West,1,132,34187
2020-06-24,22289,18029,HR,North,8,171,4260
2022-02-12,38293,14098,Sales,West,9,270,24195
2022-02-02,14734,13459,Marketing,South,1,89,1275
2023-09-14,30013,11126,HR,East,5,103,18887
2022-07-19,45521,18227,Finance,North,7,125,27294
2023-05-08,16505,9906,IT,East,2,67,6599
2021-12-11,14685,12898,Operations,South,6,263,1787
2023-05-04,28409,22584,Finance,West,8,8,5825
2022-04-05,29517,19439,Operations,North,8,44,10078
2021-08-11,40475,26739,HR,West,8,448,13736
2021-06-14,46989,6116,Sales,North,6,135,40873
2022-12-21,25327,11344,Operations,West,6,248,13983
2023-09-12,13671,27314,HR,South,3,304,-13643
2020-10-07,14941,14090,Marketing,South,2,318,851
2020-08-14,36372,18212,IT,West,5,25,18160
2021-09-30,22466,19078,Sales,South,9,465,3388
2022-12-17,28286,15836,Sales,West,4,474,12450
2022-07-09,14588,22442,Marketing,North,5,374,-7854
2021-04-21,38080,28668,Sales,South,6,196,9412
2023-10-31,34544,22071,HR,North,6,192,12473
2021-12-16,20811,26961,Sales,West,4,369,-6150
2020-08-30,28733,26974,Sales,North,4,402,1759
2021-01-01,49888,13152,Sales,East,8,122,36736
2022-07-24,40059,28447,HR,West,5,260,11612
2022-04-17,47487,13979,Finance,South,5,401,33508
2023-06-29,24550,17686,IT,South,9,47,6864
2022-06-24,20864,15836,Operations,East,4,374,5028
2023-09-07,35394,15356,Finance,West,7,209,20038
2021-01-10,29061,13395,Sales,West,5,301,15666
2023-12-03,22624,7491,Marketing,West,9,89,15133
2021-12-11,34934,26206,Marketing,West,8,442,8728
2020-12-08,13361,18928,HR,North,8,3,-5567
2020-08-27,23707,12004,IT,West,3,396,11703
2020-05-18,11924,16560,Sales,North,9,475,-4636
2023-02-19,39487,12011,HR,North,8,145,27476
2021-02-23,22647,27084,Operations,South,3,374,-4437
2020-10-30,41734,16750,IT,West,1,22,24984
2020-04-24,39018,9862,IT,North,5,39,29156
2020-12-08,31627,10350,HR,West,4,295,21277
2023-06-28,31031,17682,Finance,East,8,107,13349
2020-01-07,49449,17535,Marketing,North,6,496,31914
2021-12-31,12701,16703,Finance,South,5,100,-4002
2020-06-27,26719,14611,IT,West,9,272,12108
2023-03-14,19718,20096,Marketing,South,6,229,-378
2021-02-19,10056,19106,IT,North,3,435,-9050
2021-10-27,25352,5355,IT,North,6,374,19997
2023-02-18,13147,24856,IT,South,4,285,-11709
2023-02-21,13537,13432,Operations,West,5,206,105
2020-05-29,32812,20700,Marketing,North,6,71,12112
2021-01-31,10721,29094,Operations,East,9,169,-18373
2021-01-15,26769,18850,Marketing,South,3,185,7919
2022-04-18,24346,22238,Operations,North,1,412,2108
2020-01-01,49883,16935,Operations,West,2,333,32948
2020-08-31,20911,27747,Operations,North,8,208,-6836
2023-11-22,10259,11704,HR,West,4,405,-1445
2023-06-28,30872,25008,Operations,West,7,388,5864
2022-05-28,18791,20379,Finance,North,2,487,-1588
2023-08-15,17536,26830,Finance,East,8,382,-9294
2022-01-29,30432,14252,IT,West,9,355,16180
2022-08-11,42750,13573,Sales,South,7,372,29177
2023-08-13,29541,27415,Operations,West,1,271,2126
2022-09-03,26860,27566,Sales,West,2,437,-706
2023-02-12,15283,6132,Sales,East,9,346,9151
2020-01-01,40743,23860,IT,West,7,430,16883
2021-07-06,45127,24519,Sales,North,3,135,20608
2021-04-26,17405,20534,Sales,East,5,146,-3129
2021-08-22,41181,16030,Finance,West,1,345,25151
2022-02-01,42205,7079,Sales,North,3,485,35126
2020-11-30,34408,5944,Marketing,North,4,149,28464
2021-04-09,27645,10840,Operations,West,4,116,16805
2023-03-10,16323,25346,Operations,South,7,392,-9023
2021-08-05,15937,11674,Sales,South,5,187,4263
2020-05-16,40431,15721,IT,West,9,20,24710
2022-09-30,27882,17493,Marketing,West,7,338,10389
2022-08-07,35324,16510,IT,North,2,373,18814
2021-11-17,23003,5834,IT,West,8,467,17169
2020-06-15,35106,25134,Sales,West,2,244,9972
2023-09-28,22979,9184,HR,North,7,67,13795
2023-12-04,44977,12178,Sales,West,5,439,32799
2022-06-28,17228,10168,Finance,West,6,62,7060
2022-05-29,19300,9991,HR,West,4,486,9309
2022-04-21,18681,13146,Marketing,North,5,274,5535
2020-03-05,18267,18884,HR,West,5,347,-617
2022-12-26,15372,10290,Sales,South,7,463,5082
2021-03-08,48918,25622,Sales,West,4,110,23296
2022-12-09,20920,29782,IT,South,5,56,-8862
2023-08-30,26856,29549,Sales,West,4,85,-2693
2023-08-25,37785,24918,Finance,North,4,406,12867
2020-04-24,27221,19844,Sales,South,8,264,7377
2021-07-22,35178,23436,Operations,West,5,395,11742
2023-09-27,43954,13151,Operations,West,9,107,30803
2021-10-03,16461,5028,IT,West,5,12,11433
2021-05-09,27865,29763,HR,West,8,176,-1898
2023-07-16,24052,23244,HR,North,3,359,808
2022-07-29,40370,12934,Operations,East,7,319,27436
2023-01-08,17332,7572,Finance,South,1,27,9760
2023-08-15,10327,20281,Marketing,West,5,291,-9954
2022-08-25,32765,13051,Finance,North,2,130,19714
2022-04-01,15239,27512,Operations,East,8,227,-12273
2020-07-20,20078,25398,Finance,North,6,479,-5320
2021-10-10,17038,25636,Marketing,West,5,136,-8598
2021-07-13,18048,7127,HR,East,3,20,10921
2022-11-07,38671,15083,Operations,South,1,264,23588
2021-04-22,24954,24091,Sales,South,8,447,863
2021-05-02,45065,14933,Marketing,North,5,324,30132
2022-09-09,12779,20877,Marketing,South,9,159,-8098
2022-02-17,23225,6813,Marketing,South,7,160,16412
2020-12-05,42541,17519,HR,East,1,397,25022
2021-09-03,29720,12816,Finance,South,1,342,16904
2020-04-25,23531,13351,IT,East,7,26,10180
2020-03-14,15335,29919,Sales,East,7,81,-14584
2023-07-16,19530,20648,Operations,East,9,413,-1118
2020-04-25,34791,29780,Finance,South,2,475,5011
2023-04-02,11649,16234,Marketing,North,7,376,-4585
2023-05-30,23472,13496,HR,North,2,470,9976
2020-05-05,12862,17133,Marketing,South,2,18,-4271
2021-10-18,35185,13591,Finance,East,5,69,21594
2023-04-14,37134,16712,Operations,South,9,396,20422
2021-10-25,10917,11249,Sales,West,9,130,-332
2023-10-30,22444,20441,Marketing,North,1,426,2003
2022-09-17,30521,11485,HR,East,7,135,19036
2022-10-14,48217,14177,HR,South,3,303,34040
2022-05-08,32066,6805,IT,East,1,379,25261
2020-03-25,12811,26431,HR,West,2,218,-13620
2023-11-07,46189,26924,IT,East,6,310,19265
2021-09-24,19290,7096,Sales,West,2,487,12194
2021-03-26,45489,17493,Operations,North,2,15,27996
2021-06-01,37284,10337,IT,East,4,496,26947
2022-04-25,34698,21035,Marketing,South,3,186,13663
2021-11-25,29637,22843,Finance,East,8,417,6794
2021-07-03,43556,28318,Marketing,East,8,495,15238
2022-07-17,26640,14537,Operations,West,6,195,12103
2020-04-25,14025,13422,HR,West,4,191,603
2022-10-28,41476,8782,Finance,South,7,234,32694
2023-05-26,16741,18798,Marketing,North,9,432,-2057
2021-02-07,13654,24884,Finance,North,2,66,-11230
2020-10-30,46019,14074,IT,West,6,81,31945
2022-01-09,48036,26989,Operations,South,7,449,21047
2020-03-28,39843,11419,Marketing,East,1,36,28424
2022-10-30,33560,13624,HR,South,6,235,19936
2020-11-03,25987,12889,Finance,South,8,17,13098
2021-03-09,30810,15455,HR,South,7,2,15355
2022-03-12,30311,19432,Finance,North,2,33,10879
2020-06-12,44920,16194,Marketing,East,2,349,28726
2023-06-16,18738,26622,Operations,South,4,380,-7884
2023-09-02,17888,23201,Sales,North,5,134,-5313
2022-09-22,15474,12570,Marketing,North,5,427,2904
2021-10-17,10488,26487,HR,West,2,356,-15999
2023-09-20,34144,5617,Sales,East,7,344,28527
2020-01-18,15622,17684,Operations,South,8,267,-2062
2022-12-30,41830,13509,HR,East,2,5,28321
2023-04-13,46542,19717,Operations,West,4,286,26825
2022-03-21,49214,11285,Finance,West,3,394,37929
2020-12-04,37648,5456,Marketing,South,4,485,32192
2020-09-04,42697,5500,Operations,North,5,347,37197
2023-05-01,35223,29458,HR,West,6,91,5765
2023-12-13,31865,23699,Marketing,North,2,152,8166
2023-09-10,18572,8874,HR,West,6,443,9698
2020-11-01,33501,28014,HR,East,9,378,5487
2020-07-22,36866,9973,Sales,South,8,118,26893
2022-05-02,22416,9774,IT,West,1,451,12642
2023-02-20,35775,20519,Operations,East,9,61,15256
2021-03-22,39080,19349,Operations,West,2,358,19731
2021-12-13,14887,22387,Sales,South,1,26,-7500
2021-03-08,29374,28232,Finance,East,6,109,1142
2023-02-25,26605,25580,Operations,North,1,368,1025
2022-04-01,25684,28099,Sales,West,6,295,-2415
2022-12-06,34002,22450,Operations,West,2,210,11552
2021-05-19,36015,18622,Operations,East,7,259,17393
2020-04-24,32972,9716,HR,South,7,294,23256
2023-12-10,10617,14820,Sales,West,4,42,-4203
2022-09-21,45338,21087,Finance,East,2,304,24251
2020-08-10,16309,18302,Operations,South,7,473,-1993
2021-09-27,29139,27992,Finance,West,1,13,1147
2021-11-02,12790,8234,IT,East,2,89,4556
2022-08-15,17826,11494,Sales,South,2,88,6332
2022-07-21,22134,19239,Sales,West,1,312,2895
2020-04-05,29693,9498,Sales,West,9,489,20195
2020-04-16,14054,16430,HR,South,6,187,-2376
2021-09-23,26090,10267,Sales,South,3,63,15823
2021-11-28,33808,27555,HR,East,6,336,6253
2020-02-01,25569,17546,IT,West,7,43,8023
2020-03-06,42227,29479,Marketing,West,3,233,12748
2023-04-17,16508,8669,HR,East,4,234,7839
2022-02-17,26608,26099,Operations,West,1,75,509
2022-07-04,33523,14657,Sales,West,6,253,18866
2021-07-02,20433,27453,Marketing,West,6,313,-7020
2020-07-19,41939,6961,HR,North,9,149,34978
2020-02-18,34520,18940,Finance,South,2,479,15580
2022-02-25,21888,22259,Finance,North,5,182,-371
2022-08-08,40932,17093,Operations,North,5,207,23839
2020-09-19,29734,13734,Marketing,South,7,181,16000
2023-03-02,13827,8516,IT,North,5,173,5311
2020-12-09,26257,25249,HR,East,4,241,1008
2023-04-14,42194,20032,Finance,North,2,164,22162
2023-11-15,41318,25883,Finance,East,8,63,15435
2020-01-11,26793,12233,HR,South,5,382,14560
2020-07-19,44684,18170,Finance,West,4,235,26514
2022-08-02,38014,10947,IT,South,9,125,27067
2022-07-14,12859,21958,Finance,South,2,257,-9099
2020-01-03,49840,22842,HR,North,3,92,26998
2023-05-22,41856,12395,Sales,South,8,225,29461
2022-03-18,44819,8172,Finance,South,4,195,36647
2023-08-23,30085,23854,HR,East,9,375,6231
2021-07-13,18214,8427,Sales,West,9,207,9787
2023-09-12,45736,12798,Finance,North,9,417,32938
2020-07-17,10601,12736,Finance,West,1,288,-2135
2020-04-18,34318,20490,HR,West,6,215,13828
2023-08-07,25451,15707,Operations,West,6,186,9744
2020-04-17,15274,16743,Operations,North,8,126,-1469
2023-12-02,28226,9206,Marketing,South,7,282,19020
2021-07-05,40926,23584,Operations,West,7,255,17342
2022-08-30,29046,24348,IT,North,2,61,4698
2020-02-21,18674,28289,Marketing,South,4,368,-9615
2020-04-21,29023,8313,Operations,West,1,401,20710
2020-10-21,31910,20055,Sales,East,7,201,11855
2023-04-27,21503,24311,HR,North,4,69,-2808
2020-03-05,15368,13873,Operations,West,9,285,1495
2021-07-27,33527,29854,Sales,North,6,63,3673
2021-04-09,32487,9458,Marketing,East,6,134,23029
2020-09-14,46593,23032,HR,North,9,239,23561
2022-09-30,20391,26911,Operations,South,8,252,-6520
2021-09-25,19874,14350,Marketing,West,6,361,5524
2023-09-16,13608,13184,Operations,North,6,187,424
2020-07-28,40451,20865,Marketing,North,6,483,19586
2020-03-29,49646,7341,Operations,West,4,371,42305
2020-01-28,43786,22902,Sales,East,5,21,20884
2020-08-25,37546,6838,IT,East,3,429,30708
2020-12-01,45268,22254,Sales,West,9,429,23014
2020-03-03,12667,10538,HR,West,2,343,2129
2021-05-14,15230,16469,Operations,South,7,291,-1239
2022-03-01,35720,14533,IT,North,1,308,21187
2021-08-14,47602,10477,IT,North,7,46,37125
2022-12-10,11546,14363,HR,East,2,194,-2817
2023-02-09,25050,17264,HR,South,5,57,7786
2020-10-27,40134,18536,IT,North,1,42,21598
2023-01-18,25640,22512,HR,South,5,457,3128
2020-08-16,30828,16819,HR,West,4,333,14009
2020-05-29,24284,17191,Operations,North,1,235,7093
2023-03-07,13423,11499,Sales,West,1,354,1924
2023-03-04,38577,17079,Finance,East,7,16,21498
2021-06-10,29070,22668,Marketing,East,3,133,6402
2020-11-28,12332,13762,IT,West,9,1,-1430
2023-10-17,16066,24248,Marketing,East,9,232,-8182
2020-06-22,28040,11045,IT,West,9,150,16995
2023-05-21,48806,17176,IT,West,1,304,31630
2023-09-28,18583,16333,Sales,West,4,494,2250
2020-03-01,48057,23361,IT,East,1,122,24696
2022-12-20,32604,13638,IT,East,1,282,18966
2022-03-29,36564,18070,Sales,East,9,290,18494
2021-06-07,43064,10039,HR,West,5,370,33025
2020-08-03,32857,28423,Finance,South,1,314,4434
2021-09-15,38941,20265,Marketing,East,3,213,18676
2021-07-31,47962,7973,IT,South,7,391,39989
2021-11-24,48573,9626,Sales,East,2,281,38947
2021-02-26,35692,21502,IT,North,4,441,14190
2021-12-16,26879,12999,Sales,North,2,140,13880
2023-12-17,45763,7292,Marketing,North,9,159,38471
2023-10-26,26477,23488,Operations,South,9,495,2989
2023-05-14,16393,22451,HR,East,7,27,-6058
2023-08-02,43488,19859,Operations,West,7,342,23629
2023-02-02,31459,21807,Sales,South,2,162,9652
2022-01-23,49093,8819,IT,East,8,118,40274
2022-01-16,22554,29087,HR,North,1,337,-6533
2021-11-18,47867,17682,Marketing,South,8,75,30185
2021-12-23,22568,19785,Finance,East,5,93,2783
2022-01-16,46794,6280,HR,West,4,34,40514
2020-08-29,15057,18241,IT,South,2,115,-3184
2021-10-26,27490,15011,Operations,West,3,421,12479
2021-12-08,15305,19147,Sales,South,2,442,-3842
2021-03-10,42740,24816,Operations,North,4,113,17924
2022-02-19,34118,22146,HR,North,3,368,11972
2021-04-28,16674,6629,Finance,North,5,60,10045
2021-01-18,34998,10499,IT,West,7,282,24499
2020-06-18,25316,13634,Sales,North,9,237,11682
2022-10-17,26217,8014,IT,West,5,126,18203
2022-08-07,12005,15773,IT,West,8,429,-3768
2022-05-18,24602,22881,Finance,West,2,45,1721
2020-11-18,31645,13280,HR,North,6,288,18365
2022-04-27,23987,13653,Operations,East,8,229,10334
2023-06-09,23543,24936,IT,West,9,197,-1393
2021-11-26,37944,16820,IT,East,4,212,21124
2020-12-24,19144,12637,IT,West,4,499,6507
2023-07-22,48459,29955,Sales,North,7,71,18504
2020-02-01,49827,25880,IT,North,4,235,23947
2020-06-25,40741,18390,IT,North,5,279,22351
2022-07-05,14479,26030,HR,South,2,449,-11551
2020-03-05,14198,24367,IT,North,2,167,-10169
2020-01-27,19091,21155,Finance,East,5,195,-2064
2020-09-24,14205,8060,Finance,West,2,173,6145
2021-08-19,13641,18697,IT,East,6,195,-5056
2022-10-08,13543,20313,Finance,South,6,63,-6770
2020-03-06,15591,29218,HR,East,8,70,-13627
2020-05-12,39341,28188,Sales,West,1,223,11153
2022-07-04,39055,12510,Finance,West,7,310,26545
2023-10-21,16116,7950,Finance,North,7,283,8166
2020-03-22,10761,25924,Operations,South,9,349,-15163
2022-09-08,12407,19387,HR,South,4,79,-6980
2023-09-13,41594,28802,Finance,East,7,36,12792
2023-01-26,10885,11063,Sales,North,6,389,-178
2021-08-07,42195,19205,Operations,North,4,195,22990
2020-11-22,45411,16922,IT,North,8,435,28489
2021-06-25,37819,12661,HR,West,3,217,25158
2023-02-22,21125,8421,Finance,South,8,288,12704
2020-07-28,31494,6990,IT,East,5,149,24504
2020-05-12,44236,18057,HR,East,4,496,26179
2020-06-05,34585,25240,Operations,East,3,273,9345
2022-05-24,32045,6482,Finance,North,7,201,25563
2021-01-16,32447,7545,Sales,South,7,154,24902
2022-11-11,49783,9220,HR,South,6,22,40563
2022-08-31,36238,17491,Sales,West,3,297,18747
2021-08-17,49091,5642,IT,West,9,494,43449
2023-12-13,45196,18332,IT,West,2,315,26864
2021-04-16,21685,25302,Operations,East,3,215,-3617
2020-08-21,22738,6586,Operations,East,1,331,16152
2021-07-25,25772,23793,Marketing,South,7,122,1979
2022-02-09,20633,11504,Marketing,West,2,266,9129
2023-03-31,33492,21438,Operations,East,8,343,12054
2020-10-27,46855,19627,Finance,West,9,261,27228
2020-11-01,16228,22225,IT,West,2,55,-5997
2020-01-02,12831,11928,Sales,South,6,282,903
2020-09-27,30045,9587,Operations,South,1,260,20458
2021-02-24,28132,24290,Finance,East,8,363,3842
2023-03-12,21055,26472,Sales,South,5,283,-5417
2021-11-30,34318,15186,Marketing,West,9,230,19132
2022-05-13,23795,15124,Sales,South,3,482,8671
2022-08-17,29648,10056,Operations,West,2,126,19592
2022-09-20,32158,10982,IT,West,7,442,21176
2022-10-06,31747,7272,Operations,East,7,259,24475
2022-05-28,33234,11141,HR,East,5,50,22093
2021-11-22,41560,29399,Finance,East,7,224,12161
2022-05-16,21282,29678,Finance,West,6,381,-8396
2022-11-26,43831,14161,Finance,South,9,282,29670
2020-04-16,33043,6071,HR,East,3,146,26972
2023-08-13,30929,22120,HR,East,4,391,8809
2023-01-25,45500,11376,IT,South,9,373,34124
2020-10-07,11872,29133,Finance,South,8,45,-17261
2023-02-07,47488,8630,Operations,East,6,397,38858
2021-07-02,11969,5227,HR,West,3,262,6742
2021-07-05,35460,20342,Operations,West,9,419,15118
2020-07-06,22155,11665,Marketing,East,9,479,10490
2022-01-21,21870,19008,Finance,South,6,234,2862
2022-05-19,38392,27095,HR,West,2,53,11297
2023-10-09,13717,27540,HR,South,7,485,-13823
2020-01-19,11374,24954,IT,North,9,235,-13580
2022-05-08,31826,12993,Operations,South,9,196,18833
2023-11-17,18679,19675,IT,South,3,426,-996
2023-07-08,23427,6619,IT,North,2,4,16808
2022-09-11,33564,17885,Operations,West,5,60,15679
2021-02-13,44708,7204,Marketing,West,7,173,37504
2023-11-27,45135,24087,Operations,West,3,72,21048
2021-04-28,34271,12742,Marketing,East,4,486,21529
2023-08-20,26631,16694,IT,North,2,75,9937
2021-09-15,29887,16818,Marketing,South,2,322,13069
2021-10-17,35259,12574,Finance,North,7,466,22685
2022-02-06,42396,14373,Marketing,North,2,466,28023
2020-01-18,29144,16448,Marketing,North,1,22,12696
2020-07-02,22655,22181,HR,North,4,396,474
2021-02-08,30836,24383,HR,North,6,209,6453
2022-03-09,11368,7764,IT,North,4,51,3604
2023-02-28,44994,15601,Operations,East,1,145,29393
2021-04-23,46380,25068,Marketing,North,1,420,21312
2020-01-08,22199,16467,Finance,North,9,349,5732
2021-12-05,21569,13199,HR,West,1,305,8370
2023-09-03,43827,15411,Operations,North,7,272,28416
2023-11-15,41182,11239,Finance,North,7,489,29943
2023-03-05,23115,25258,Marketing,West,1,459,-2143
2021-06-14,31649,19943,Operations,West,1,44,11706
2022-07-01,28195,18617,Finance,West,6,107,9578
2023-10-22,40596,8329,Sales,South,8,493,32267
2021-11-19,44961,27453,Finance,North,7,150,17508
2022-10-31,37003,16563,Finance,North,6,94,20440
2021-07-06,26551,10584,Marketing,North,3,264,15967
2021-03-21,33826,13805,Operations,West,7,110,20021
2023-02-11,46950,14089,Marketing,East,6,18,32861
2021-12-06,34729,18639,Marketing,North,8,238,16090
2020-07-14,13868,29685,Sales,West,4,336,-15817
2022-05-09,48718,20488,Finance,West,9,239,28230
2023-09-08,42353,16110,Operations,West,1,374,26243
2021-09-19,40653,6160,IT,South,7,212,34493
2022-09-07,24141,17173,HR,West,9,231,6968
2021-09-21,21537,24994,Marketing,East,1,328,-3457
2023-04-03,40401,26128,Marketing,South,3,350,14273
2023-06-29,37387,12331,Marketing,West,7,294,25056
2020-02-13,26154,19684,Marketing,East,9,413,6470
2021-05-03,45077,23387,HR,East,1,461,21690
2020-06-29,16630,19798,IT,North,6,81,-3168
2023-01-05,24778,29419,Sales,West,2,255,-4641
2021-01-08,33070,6527,IT,West,5,232,26543
2021-09-19,23416,20220,HR,North,7,363,3196
2022-08-14,35399,28702,Operations,East,7,209,6697
2020-03-07,18629,15105,Sales,West,7,457,3524
2023-01-20,18360,18896,Sales,North,4,386,-536
2022-02-17,22011,18085,Operations,North,6,443,3926
2021-10-12,46069,20205,Finance,East,6,298,25864
2023-06-21,21227,28618,Marketing,East,7,374,-7391
2020-12-06,49587,26553,HR,West,9,472,23034
2022-06-21,12769,25994,Operations,West,6,21,-13225
2023-08-20,20492,28105,IT,South,1,238,-7613
2021-02-01,13345,25634,IT,East,8,386,-12289
2021-12-03,12665,15198,Finance,South,2,261,-2533
2020-04-06,34807,17398,Operations,South,3,273,17409
2023-09-16,22366,11626,HR,North,5,280,10740
2023-05-13,19325,7855,Finance,North,6,392,11470
2021-03-24,15440,8964,Finance,West,7,414,6476
2023-12-12,38222,29319,Finance,East,4,434,8903
2020-03-17,36951,19609,Sales,East,3,150,17342
2022-06-14,49878,19490,Sales,South,9,315,30388
2021-07-02,30264,23058,Marketing,South,4,152,7206
2022-03-08,29121,18330,HR,West,9,282,10791
2023-12-19,28815,7392,IT,North,9,61,21423
2023-12-23,40311,21262,IT,East,3,136,19049
2022-03-25,29749,11878,Marketing,East,3,12,17871
2022-10-18,39218,19904,IT,East,8,14,19314
2020-05-14,25533,6921,Finance,East,1,30,18612
2021-10-15,11316,15884,Marketing,North,6,439,-4568
2023-07-01,47972,9433,Marketing,West,6,355,38539
2023-07-02,31388,23211,Operations,West,9,445,8177
2021-10-07,23512,15691,Sales,North,2,318,7821
2021-12-20,10684,5716,HR,West,8,287,4968
2021-09-04,37164,22014,HR,West,7,220,15150
2021-04-28,49208,26244,Sales,South,2,238,22964
2022-12-05,21735,29660,Finance,North,1,27,-7925
2021-10-09,45855,8768,HR,West,4,484,37087
2022-03-02,48546,7707,IT,South,2,257,40839
2021-08-01,18079,21151,IT,North,3,297,-3072
2022-10-24,32412,29802,HR,North,2,142,2610
2020-01-01,45862,24741,Operations,East,9,250,21121
2023-08-06,29191,14499,HR,South,4,74,14692
2020-04-18,24821,29244,Marketing,South,1,434,-4423
2021-04-04,17582,21306,Finance,South,8,298,-3724
2020-09-22,19012,25588,Marketing,North,4,199,-6576
2023-03-07,43655,25614,Sales,East,8,296,18041
2023-12-28,48783,10033,Finance,North,8,14,38750
2020-02-13,24530,9386,Finance,West,9,100,15144
2022-06-04,30377,17150,IT,West,7,91,13227
2022-08-01,31653,13157,Finance,West,4,395,18496
2022-09-09,30380,19113,Operations,East,2,191,11267
2020-09-18,10556,20974,HR,North,6,362,-10418
2021-12-28,36790,12675,Marketing,South,4,305,24115
2021-09-24,18900,23251,IT,West,6,421,-4351
2020-05-31,43485,28349,IT,West,8,106,15136
2020-07-31,46433,28580,Operations,North,3,394,17853
2022-10-12,23891,21410,Operations,South,1,438,2481
2023-06-11,25014,20826,Operations,East,5,7,4188
2022-05-12,16547,27540,Operations,West,3,81,-10993
2021-09-14,47964,17841,Marketing,West,6,253,30123
2020-12-26,39932,14124,Operations,West,3,140,25808
2020-11-15,30263,11588,IT,South,1,485,18675
2020-08-09,29320,20822,IT,West,9,357,8498
2020-07-28,49459,27151,Finance,South,5,311,22308
2023-11-20,17045,21850,HR,West,2,420,-4805
2022-07-19,11237,29073,IT,West,2,7,-17836
2021-05-03,49240,18536,IT,South,9,152,30704
2021-08-23,46326,7700,Marketing,South,1,290,38626
2022-02-12,15293,13809,Finance,East,3,126,1484
2022-05-27,35274,20115,IT,North,7,449,15159
